"income","age","education","petition_signed","g"
8,48,6,0,0.288949746300804
5,76,5,1,0.124688416333634
2,76,3,0,0.0485568568074767
8,46,5,0,0.220533785734599
5,57,3,0,0.0793331541133574
8,59,7,1,0.338206737935168
7,41,6,1,0.293542362593547
10,59,7,1,0.37540415241094
2,58,3,0,0.0624152674988068
11,73,7,0,0.346446309995499
6,80,3,0,0.0623910586764288
5,57,3,0,0.0793331541133574
9,62,7,0,0.346493153776538
2,50,3,1,0.0696947796156346
3,86,6,0,0.13388946126451
9,53,6,0,0.290447450218396
8,64,7,1,0.321886746869832
4,19,3,0,0.122226021351034
7,70,3,0,0.0771883599361356
3,88,3,0,0.0443062292902445
3,68,3,0,0.0586328848407491
3,76,5,0,0.108036487789855
5,66,3,0,0.0701546780161338
8,53,6,1,0.274022457594985
6,20,3,0,0.138944227975312
7,61,3,0,0.0872007675322992
11,34,6,0,0.389240320165514
3,91,5,0,0.0884739281499598
3,44,3,1,0.0815322791532806
9,61,3,0,0.101004897483554
1,61,5,0,0.113881286492055
4,77,3,0,0.0558395348117093
8,57,3,0,0.0990209333147458
6,60,7,0,0.299799283235007
8,45,5,0,0.223082120306875
4,20,5,0,0.23092602830448
4,77,6,0,0.160700230377489
2,61,5,0,0.122324750899023
1,53,1,0,0.0293131744876217
2,62,3,0,0.0590474045837826
4,20,3,1,0.120650880499831
8,63,5,0,0.180414462803221
2,67,3,0,0.0550770192954068
4,67,5,0,0.130450044027439
7,62,5,1,0.170813132247449
7,49,3,0,0.102372416224412
11,37,7,1,0.474222315194884
5,80,5,0,0.118384635807539
3,66,3,0,0.0602840548411362
3,44,2,0,0.056609507309495
4,68,3,0,0.0632725747898144
9,47,3,0,0.121381080755164
5,57,6,1,0.218120097217183
3,30,6,0,0.26110588068616
8,46,7,0,0.382401550366325
1,60,2,0,0.0387271491531693
8,52,6,1,0.276969247163742
5,74,4,0,0.0902299816429325
5,52,3,0,0.0848950150010682
7,42,7,0,0.377209507012583
2,75,4,0,0.0711679617643907
3,47,6,0,0.215647705176795
7,57,5,0,0.181523927659908
1,31,6,0,0.228431932262852
3,35,3,0,0.0920519469641254
3,55,5,0,0.141739391191747
